City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Punta De Piedra,VE,93.69,broken clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
593,Saint-Joseph,RE,77.36,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
596,Lakatoro,VU,80.6,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
599,Benguela,AO,79.45,clear sky,-12.5763,13.4055,Hotel Praia Morena
601,Dhidhdhoo,MV,81.25,clear sky,6.8833,73.1,Dhidhoo beach
602,Katobu,ID,75.67,overcast clouds,-4.9408,122.5276,La Ode Husein
604,Basoko,CD,86.5,overcast clouds,1.2391,23.616,Jackyna Hotel
611,Lorengau,PG,79.21,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
612,Sabang,ID,82.44,heavy intensity rain,5.8933,95.3214,Hotel Citra
614,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
621,Bandrele,YT,83.95,light rain,-12.9067,45.1914,Les Baobabs
624,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
627,Merauke,ID,79.79,overcast clouds,-8.4667,140.3333,
628,Micheweni,TZ,81.1,overcast clouds,-4.9667,39.8333,
637,Ankazobe,MG,75.61,overcast clouds,-18.3167,47.1167,
642,Taganak,PH,80.74,overcast clouds,6.0833,118.3,Taganak
645,Sarangani,PH,81.25,light rain,5.4033,125.4636,Ballistic Islet
651,Bemban,MY,76.8,few clouds,2.2684,102.3746,NeoHomeStay Gapam Lestari
658,Soyo,AO,84.25,broken clouds,-6.1349,12.3689,Hotel Mpampa
666,Sao Jose Da Coroa Grande,BR,86.11,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
